City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,Ampanihy,MG,77.9,broken clouds,-24.7,44.75,Angora Hotel
337,Plettenberg Bay,ZA,65.39,broken clouds,-34.0527,23.3716,Thanda Vista B&B
338,Along,IN,65.17,overcast clouds,28.1667,94.7667,Hotel West
339,Berwick,US,55.15,overcast clouds,41.0545,-76.2333,The White Birch Inn B & B
340,Faanui,PF,82.71,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
342,Bubaque,GW,77.2,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
343,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
345,Antofagasta,CL,72.21,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
346,El Mochito,HN,83.14,broken clouds,14.8667,-88.0833,Rotulo de Las Vegas S.B..
347,Sabzevar,IR,81.68,scattered clouds,36.2126,57.6819,پزشکی قانونی سبزوار
349,Keti Bandar,PK,81.88,broken clouds,24.1447,67.4497,Haji laloo memon house
350,Rabo De Peixe,PT,60.31,broken clouds,37.8,-25.5833,Quinta das Giestas
351,Flinders,AU,67.37,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
355,Mantua,IT,65.08,clear sky,45.1667,10.7833,Hotel la Favorita
357,Umm Lajj,SA,81.82,clear sky,25.0213,37.2685,Moon light Furnished Units
358,Jacareacanga,BR,86.27,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
359,Roma,US,50.09,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
362,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
366,Pacific Grove,US,51.48,clear sky,36.6177,-121.9166,Lovers Point Inn
367,Tubuala,PA,79.97,overcast clouds,9.5167,-79.0333,Río Nabagana
368,U Thong,TH,84.72,light rain,14.3751,99.8923,คงทองทิพย์รีสอร์ท
369,Yulara,AU,80.44,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
373,Berea,US,51.73,broken clouds,41.3662,-81.8543,Comfort Inn Cleveland Airport
376,San Quintin,MX,60.67,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
378,Beira,MZ,86.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
383,Siderno,IT,58.53,clear sky,38.2779,16.302,Grand Hotel President
384,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
385,San Carlos De Bariloche,AR,53.35,broken clouds,-41.1456,-71.3082,Hotel Patagonia
386,Belmonte,BR,84.56,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
387,Yinchuan,CN,59.88,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
389,Dharchula,IN,66.42,few clouds,29.85,80.5333,Mahara Hotel
390,Natal,BR,86.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
392,Liverpool,GB,56.79,scattered clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
393,Bandarbeyla,SO,80.62,scattered clouds,9.4942,50.8122,JABIR HOTEL
394,Princeton,US,86.02,broken clouds,25.5384,-80.4089,American Best Inn
398,Benghazi,LY,70.88,overcast clouds,32.1167,20.0667,Tibesti Hotel
401,Sparks,US,51.76,few clouds,39.5349,-119.7527,Nugget Casino Resort
402,Mildura,AU,69.76,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
407,Cidreira,BR,71.98,overcast clouds,-30.1811,-50.2056,Hotel Castelo
408,Katsuura,JP,55.76,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
410,Pokhara,NP,74.57,scattered clouds,28.2333,83.9833,OYO 170 Hotel View Point
411,Codrington,AU,59.63,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
412,Dergaon,IN,71.15,broken clouds,26.7,93.9667,Villa Shivalay (Assam)
415,Saint-Joseph,RE,79.21,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
416,Lagoa,PT,59.79,overcast clouds,39.05,-27.9833,Casa Das Faias
418,Piura,PE,80.02,broken clouds,-5.2,-80.6333,Casa Andina Premium Piura
421,Warrington,GB,56.97,scattered clouds,53.3925,-2.5802,Villaggio Hotel
424,Bayshore Gardens,US,80.98,overcast clouds,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
426,Blackwater,AU,71.83,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
427,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
428,Huarmey,PE,73.08,scattered clouds,-10.0681,-78.1522,Hotel Miramar
430,Wanning,CN,71.91,overcast clouds,18.8003,110.3967,Paradise Hotel
431,Ahuimanu,US,73.2,few clouds,21.4447,-157.8378,Paradise Bay Resort
433,Chongwe,ZM,69.55,moderate rain,-15.3292,28.682,Grakas Lodge
434,Dunedin,NZ,57.29,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
435,Aktau,KZ,61.38,overcast clouds,43.65,51.2,Silk Way Hotel
436,Necochea,AR,72.32,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
437,Shakawe,BW,86.94,few clouds,-18.3667,21.85,Ditlhapi Guest House
439,Faya,SA,81.12,clear sky,18.3851,42.4509,املاك خالد الشعشوع
440,Mossendjo,CG,76.21,moderate rain,-2.9506,12.7261,HOTEL D'ASSISE
441,Rock Sound,BS,77.31,overcast clouds,24.9,-76.2,Pink Corral Bay Property
442,Carutapera,BR,80.46,overcast clouds,-1.195,-46.02,Lidera
443,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
444,Rutland,US,50.7,clear sky,43.6167,-73.0162,Comfort Inn Trolley Square
445,Gleisdorf,AT,65.48,overcast clouds,47.1061,15.7127,Hotel Ambio
446,Pekan,MY,78.91,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
447,Freeport,US,54.25,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
448,Salinopolis,BR,77.11,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
449,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
452,Jumla,NP,50.61,clear sky,29.2747,82.1838,Royal Garden Hotel
453,Beloslav,BG,58.86,few clouds,43.1833,27.7,Guest Room Gebedje
455,Aviles,ES,56.37,clear sky,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
458,Maldonado,UY,67.39,clear sky,-34.6667,-54.9167,La Cimarrona
459,Aksu,CN,67.24,clear sky,41.1231,80.2644,Pudong Holiday Hotel
461,Makubetsu,JP,44.01,clear sky,45.3714,141.8211,RED BARON Bike Station Wakkanai
462,Sorong,ID,80.15,moderate rain,-0.8833,131.25,Waigo Splash Hotel
465,Chicama,PE,64.94,few clouds,-7.8447,-79.1469,Balihai Bungalows
467,Wageningen,NL,53.96,mist,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
468,Shimoda,JP,54.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
469,Cleveland,US,52.99,haze,41.4995,-81.6954,Renaissance Cleveland Hotel
470,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
473,Asau,RO,56.95,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
475,General Pico,AR,78.66,clear sky,-35.6566,-63.7568,Euskadi Hotel
476,Fayaoue,NC,77.72,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
477,Ugoofaaru,MV,83.75,overcast clouds,5.6667,73.0,Ungoofaaru Inn
478,Pimenta Bueno,BR,84.43,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
480,Meulaboh,ID,78.82,overcast clouds,4.1363,96.1285,Kost Pria
481,Yichang,CN,65.48,overcast clouds,30.7144,111.2847,Gezhouba Hotel
482,Yankton,US,54.12,overcast clouds,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
483,San Juan,AR,75.67,clear sky,-31.5375,-68.5364,Hotel Provincial
487,Lianran,CN,45.14,overcast clouds,24.9227,102.485,半岛酒店
489,Fukue,JP,58.51,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
490,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
493,Broome,US,53.2,overcast clouds,42.2506,-75.833,Chenango Valley State Park
494,Chibombo,ZM,71.6,light rain,-14.6569,28.0706,Chibombo District Council Guest House
495,Honiara,SB,76.87,overcast clouds,-9.4333,159.95,Heritage Park Hotel
498,Camopi,GF,79.03,broken clouds,3.1655,-52.3158,La pousada
499,Lasa,IT,60.03,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
500,Constitucion,CL,65.44,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
503,Laibin,CN,69.46,clear sky,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
504,Abancay,PE,65.91,broken clouds,-13.6339,-72.8814,Siball Hotel
