City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Egvekinot,RU,66.3167,-179.1667,-10.79,75,95,7.7,overcast clouds
314,Ati,TD,13.2154,18.3353,108.43,6,0,10.47,clear sky
315,Iranshahr,IR,27.2025,60.6848,97.14,11,20,16.11,few clouds
316,Isangel,VU,-19.55,169.2667,79.65,81,100,6.13,light rain
317,Noumea,NC,-22.2763,166.4572,75.18,90,100,2.64,light rain
318,Arawa,PG,-6.2132,155.5367,77.02,94,100,4.7,light rain
319,Pingliang,CN,35.5392,106.6861,56.62,19,3,2.42,clear sky
320,Pangkalanbuun,ID,-2.6833,111.6167,74.26,98,100,1.39,overcast clouds
321,Roebourne,AU,-20.7833,117.1333,85.08,55,0,11.77,light rain
322,Makarov,RU,48.6333,142.8,40.39,76,87,22.08,overcast clouds
323,Kropotkin,RU,45.4375,40.5756,43.75,86,86,8.9,overcast clouds
324,Eydhafushi,MV,5.1033,73.0708,84.0,64,100,0.85,overcast clouds
325,Maneadero,MX,31.7167,-116.5667,63.03,75,1,2.04,clear sky
326,Amuntai,ID,-2.4177,115.2494,74.1,97,100,1.1,overcast clouds
327,Kruisfontein,ZA,-34.0033,24.7314,70.88,57,20,9.84,few clouds
328,Port Blair,IN,11.6667,92.75,80.64,83,100,3.44,overcast clouds
329,Seoul,KR,37.5683,126.9778,51.19,41,0,2.3,clear sky
330,Barkhan,PK,29.8977,69.5256,78.87,8,96,1.86,overcast clouds
331,Catumbela,AO,-12.4314,13.5472,79.09,78,77,8.16,broken clouds
332,Touros,BR,-5.1989,-35.4608,85.33,64,100,14.54,overcast clouds
333,Wurzen,DE,51.3667,12.7333,50.0,93,100,12.26,overcast clouds
334,Tautira,PF,-17.7333,-149.15,81.39,80,65,20.65,light rain
335,Ampanihy,MG,-24.7,44.75,77.9,69,76,9.64,broken clouds
336,Yelizovo,RU,53.1873,158.3805,37.54,70,0,11.18,clear sky
337,Plettenberg Bay,ZA,-34.0527,23.3716,65.39,70,72,4.83,broken clouds
338,Along,IN,28.1667,94.7667,65.17,98,100,1.48,overcast clouds
339,Berwick,US,41.0545,-76.2333,55.15,54,100,6.26,overcast clouds
340,Faanui,PF,-16.4833,-151.75,82.71,75,74,21.12,light rain
341,Yerofey Pavlovich,RU,53.9667,121.9667,5.85,92,14,4.03,few clouds
342,Bubaque,GW,11.2833,-15.8333,77.2,66,2,17.38,clear sky
343,Souillac,MU,-20.5167,57.5167,77.38,94,40,10.36,scattered clouds
344,Tilichiki,RU,60.4667,166.1,5.07,93,100,7.72,overcast clouds
